,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
403,403,"We’re expanding our partnership with @Telefonica to deliver our cloud services – spanning Azure, Microsoft 365 and Dynamics 365 – from new datacenters in Spain, helping customers accelerate their digital transformations. https://t.co/exMMM8wBc4",734,221,2020-02-25 15:36:50+00:00,2020-02-25,-4.820334421595474
404,404,Katherine Johnson will be remembered not just for her contributions to the early years of the space program but for how she helped NASA evolve into a more enlightened organization. Her legacy is a powerful example of how one individual can be a catalyst for change. RIP Katherine.,1243,192,2020-02-24 17:13:42+00:00,2020-02-24,-6.367279069624199
409,409,"Here’s my conversation with Matt Comyn of @CommBank on how digital technology is reshaping his industry, as well as the launch this week of X15 Ventures, which will build the next generation of Australian digital businesses using our platforms and tools. https://t.co/HPxy2XKPd5",247,54,2020-02-03 22:18:18+00:00,2020-02-03,3.493778448740992
410,410,"RT @MSFTIssues: We are thrilled to announce AI for Health, a new #AIForGood program dedicated to leveraging AI to empower researchers and o…",0,147,2020-01-30 17:58:43+00:00,2020-01-30,3.1096691265421805
411,411,"Celebrating Katie Sowers, whose powerful story is an inspiration. This Sunday, she'll become the first woman ever to coach in the Super Bowl. #SBLIV https://t.co/w3yrAOFV5m",947,187,2020-01-28 16:53:42+00:00,2020-01-28,3.1096691265421805
446,446,"With Surface we are reimagining every layer of the tech stack – from how we infuse AI from the silicon up, to device form factors and the role of operating systems – to put people at the center and empower them to create the world we want to live in. https://t.co/evyoCykBwV",3664,1023,2019-10-02 16:29:00+00:00,2019-10-02,-2.632980135570928
447,447,I’m inspired by the stories of these brave leaders who bring their authentic selves to work each day – and am honored to count them as colleagues. https://t.co/OibmTcFxGp,1223,225,2019-10-02 01:10:46+00:00,2019-10-02,-2.632980135570928
448,448,"Together with @Novartis, we will apply the power of Azure and Microsoft AI to some of the biggest challenges facing the life sciences industry today. https://t.co/AKjlDFNAHa",831,243,2019-10-01 14:11:35+00:00,2019-10-01,-2.632980135570928
449,449,"To mark National Disability Employment Awareness Month, we’re sharing technology that reflects the diverse experiences of our customers and employees. I was amazed when I was first introduced to Code Jumper, I hope you are too. https://t.co/9qG7aKIoZd",765,194,2019-10-01 04:05:15+00:00,2019-10-01,-2.632980135570928
453,453,RT @MicrosoftIndia: We are collaborating with @ErosNow to build a next generation online video platform targeted at South Asian consumers w…,0,68,2019-09-19 15:15:38+00:00,2019-09-19,2.6308022062597303
462,462,RT @JP_Courtois: #AI is transforming agriculture for the better. Read more about how we are partnering with others and using tech to make s…,0,93,2019-08-08 16:27:36+00:00,2019-08-08,2.7815416226747214
463,463,"Fantastic to be with Samsung CEO DJ Koh at #SamsungEvent this afternoon, sharing our vision for a multi-device, multi-experience world. https://t.co/bnrPoOGlRI",2262,336,2019-08-07 23:18:42+00:00,2019-08-07,2.7815416226747214
464,464,"Expanding our partnership with @Samsung to help people be more productive on any device, anywhere – bringing together our intelligent experiences with Samsung’s powerful, new devices. https://t.co/ljWtriQQ9x",1858,418,2019-08-07 21:28:37+00:00,2019-08-07,2.7815416226747214
481,481,"Our @MSMakeCode team is working to empower students to not just imagine the future but to build it – providing them with a free, open source learn to code platform. Take a look. https://t.co/sxpmR5Q2EH",642,182,2019-06-06 17:43:12+00:00,2019-06-06,2.736931856120095
482,482,RT @CYarkoni: Today @Microsoft announces the deepened support of women tech entrepreneurs with global expansion of IdeaGen and Women in Clo…,0,158,2019-06-05 23:30:30+00:00,2019-06-05,2.5212186971408146
505,505,"Congratulations Melinda, on the launch of your book. It's such a valuable contribution to a topic that couldn't be more important to society today. I've always learned so much from the stories you've shared – and am encouraged that more people will benefit from your insights. https://t.co/Hs1nO63MMr",716,87,2019-04-23 22:28:00+00:00,2019-04-23,3.926213801747558
506,506,A look at how we’re partnering with leaders in every industry to help them build the digital capability increasingly required to compete and grow. https://t.co/2VjcdCzumo,520,106,2019-04-23 16:32:05+00:00,2019-04-23,3.926213801747558
507,507,"RT @Microsoft: With the power of #MicrosoftAI, SilviaTerra, and @nature_org we can plant the right trees in the right forests. Find out how…",0,164,2019-04-23 00:39:30+00:00,2019-04-23,3.926213801747558
